coupling_row_nonuniformity_mean,coupling_row_nonuniformity_std,coupling_row_peak_ratio_mean_mean,coupling_row_peak_ratio_mean_std,distance_type,kind,ldd_effective_rank_source_mean,ldd_effective_rank_source_std,ldd_spectral_entropy_source_mean,ldd_spectral_entropy_source_std,ldd_variance_source_mean,ldd_variance_source_std,mu_layout,n,plot_group,radius_grid,rotation_error_deg_mean,rotation_error_deg_std,shape_case
5.734255546485655e-07,5.324510498785433e-07,1.0587523400783538,0.024939778189644077,geo_arccos,uniform,1.4309660679590828,0.037764919466133126,0.07774336219397915,0.0056989850056190115,1.5055671360074813e-05,9.190829574954202e-06,baseline,20,uniform,log,123.53873142542861,40.82125499108184,baseline
0.0029605481624603272,0.00020802346116915462,9.728749513626099,0.4602269447488509,geo_arccos,one_vmf,1.9900589751129427,0.029440034894607232,0.14941036990792822,0.0032156362111826365,0.0033599083331192054,0.00011784140747103011,baseline,20,one_vmf,log,106.14478037670195,59.35108084778347,baseline
0.002807503640651703,0.0004094982579025308,11.190040588378906,1.5101058173217556,geo_arccos,mixture,2.034546309548588,0.03294099142110867,0.15420638674254825,0.003551370269646771,0.0030231731647684364,0.00037023394465060067,close,20,close_same,log,6.543790113742778,4.7266005256358525,same
0.0034172842264175414,0.0007216885667891116,14.039177131652831,3.312762880633658,geo_arccos,mixture,2.165809961644535,0.16121614099169815,0.1672523554769561,0.01587498213420038,0.0033725071776066645,0.0006497044648958366,close,20,close_1_unique,log,5.196172880942635,4.938828113329373,1_unique
0.003586928296089173,0.0007535776933120788,14.562423706054688,3.237072981126263,geo_arccos,mixture,2.228014299919301,0.20338393179738937,0.17316771623744037,0.018655200871219343,0.0037982472635934746,0.001010650947379511,close,20,close_2_unique,log,3.566407405990417,3.777259175454323,2_unique
0.0035358377218246465,0.0004880954393031835,14.056384086608887,2.607588317810464,geo_arccos,mixture,2.199874261382635,0.14876212563882357,0.17074027158222355,0.014384295001179123,0.003632995466277351,0.0007231400235713388,close,20,close_4_unique,log,4.647943773038206,3.6666801789227352,4_unique
0.002356472808122635,0.0007528420928138617,13.885556411743163,3.515330254212486,geo_arccos,mixture,2.8852234248166395,0.27547143035957006,0.22915761419914787,0.02060215252093959,0.0013185189707122361,0.0005300041226007527,spread,20,spread_same,log,4.605414881023054,4.558828756074104,same
0.002574418258666992,0.0007370028165281243,14.799571681022645,3.30942071621585,geo_arccos,mixture,3.0008993699953637,0.23905149725138694,0.23797185699594023,0.017288990067814133,0.0014898148682234147,0.0005359834023778232,spread,20,spread_1_unique,log,3.460012667498643,2.659671794673398,1_unique
0.002424065548181534,0.00053664220484902,14.192769241333007,2.279253703784115,geo_arccos,mixture,2.9969462875442496,0.1451753828353501,0.23809469419747797,0.010613844498771247,0.0012968375561442542,0.0003548356579436186,spread,20,spread_2_unique,log,3.929412238038786,2.257379140381561,2_unique
0.002870738196372986,0.0005566950882100437,15.752139139175416,2.2620969945453515,geo_arccos,mixture,3.0623347383957706,0.21753833264211112,0.24247295585571987,0.016171525628618143,0.0015232377997265669,0.0003559187451235982,spread,20,spread_4_unique,log,2.5633953868506523,1.4770597531800145,4_unique
0.0020625885844230652,0.00040888469142701415,9.23585777282715,0.9683545255195505,geo_arccos,mixture,2.0838701208659223,0.1451472115519676,0.1589550575778367,0.014670006632001133,0.0017343874705739511,0.0006634369557935359,symmetric,20,symmetric_same,log,8.205727461869275,6.995506108026428,same
0.0023894441604614255,0.00040113848045622363,11.728753757476806,2.221067088801085,geo_arccos,mixture,2.2724959170388894,0.20863691060187356,0.17739000880491684,0.01980344710215456,0.0017886692584859708,0.00047728762058928543,symmetric,20,symmetric_1_unique,log,7.58864445629181,6.012394739761266,1_unique
0.0026503094553947453,0.0004844277307435158,12.781804132461549,2.0942635857788447,geo_arccos,mixture,2.2950407275321223,0.1590382470770194,0.17991689972305852,0.014663998237260724,0.0020384085026376115,0.0005872965371786819,symmetric,20,symmetric_2_unique,log,2.9265749247801813,1.5787284520062344,2_unique
0.0026789795637130734,0.0003940770761129754,13.185510683059693,2.1428202412105035,geo_arccos,mixture,2.3467386419787073,0.18470994319351858,0.1845816292138629,0.01733158409201522,0.001953704004100507,0.0006144431195994601,symmetric,20,symmetric_4_unique,log,4.966764398238941,3.676514524849579,4_unique
