A_ldd_effective_rank,A_ldd_matrix_rank,A_ldd_spectral_entropy,A_ldd_variance,B_ldd_effective_rank,B_ldd_matrix_rank,B_ldd_spectral_entropy,B_ldd_variance,M_max,M_mean,M_std,case,center_min_sep,center_radius,component1_angle,component1_beta,component1_is_unique,component1_kappa,component1_skew,component2_angle,component2_beta,component2_is_unique,component2_kappa,component2_skew,component3_angle,component3_beta,component3_is_unique,component3_kappa,component3_skew,component4_angle,component4_beta,component4_is_unique,component4_kappa,component4_skew,coupling_row_entropy_mean,coupling_row_entropy_std,coupling_row_nonuniformity,coupling_row_peak_ratio_mean,coupling_row_peak_ratio_std,design_seed,distance_type,kind,ldd_effective_rank_source,ldd_matrix_rank_source,ldd_spectral_entropy_source,ldd_variance_source,mixture_beta_max,mixture_beta_min,mixture_kappa_max,mixture_kappa_min,mixture_skew_max,mixture_skew_min,mixture_weight_1,mixture_weight_2,mixture_weight_3,mixture_weight_4,mu1_x,mu1_y,mu1_z,mu2_x,mu2_y,mu2_z,mu3_x,mu3_y,mu3_z,mu4_x,mu4_y,mu4_z,mu_layout,n_points,one_vmf_kappa,one_vmf_kappa_max,one_vmf_kappa_min,one_vmf_mu_x,one_vmf_mu_y,one_vmf_mu_z,plot_group,r_bins,r_max,r_min,radius_grid,rep,rotation_det_est,rotation_error_deg,seed_a,seed_b,seed_rot,shape_case,sinkhorn_col_marginal_max_error,sinkhorn_epsilon,sinkhorn_iter,sinkhorn_row_marginal_max_error,sinkhorn_stop_thr,sinkhorn_total_mass,sphere_norm_error_A,sphere_norm_error_B,unique_count,unique_idx
1.3908156559356382,69.0,0.07163478537151056,1.016502413961564e-05,1.4551374892991984,71.0,0.08145201488191534,1.6620237722143247e-05,0.011919498443603516,0.0026802157517522573,0.0018919769208878279,uniform,,,,,,,,,,,,,,,,,,,,,,,7.600419044494629,0.0003923610202036798,4.834077262785285e-07,1.0582232475280762,0.025072436779737473,788,geo_arccos,uniform,1.3908156559356382,69.0,0.07163478537151056,1.016502413961564e-05,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.1407993347675096,0.0001,log,0,1.0,120.2681936186142,28,40,112,baseline,1.2481678017539632e-12,0.05,2000,1.2908003658995693e-12,1e-07,0.9999999999873381,8.125944361836446e-12,1.0001999228848035e-12,-2,none
1.3732952296139582,70.0,0.06888195573029027,5.430269826370173e-06,1.4407325853178738,69.0,0.07929168940135922,1.2849045731426782e-05,0.00945186521857977,0.0018312885658815503,0.0009465806069783866,uniform,,,,,,,,,,,,,,,,,,,,,,,7.600831985473633,4.997248834115453e-05,7.094708416843787e-08,1.0301170349121094,0.012067916803061962,10788,geo_arccos,uniform,1.3732952296139582,70.0,0.06888195573029027,5.430269826370173e-06,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.140730016628685,0.0001,log,1,0.9999999999999999,177.77225628060478,10028,10040,10112,baseline,1.4376837394192155e-12,0.05,2000,1.2481678017539632e-12,1e-07,1.000000000023121,9.536260670017782e-12,1.0001999228848035e-12,-2,none
1.4527629208984725,68.0,0.0810973733752999,1.6117118868199956e-05,1.4244286060239784,71.0,0.0768203433946827,1.3844778893589357e-05,0.014404296875,0.0030038130935281515,0.0018416690872982144,uniform,,,,,,,,,,,,,,,,,,,,,,,7.600639343261719,0.0002743606746662408,2.640002348925918e-07,1.051706314086914,0.02774561569094658,20788,geo_arccos,uniform,1.4527629208984725,68.0,0.0810973733752999,1.6117118868199956e-05,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.1407229312044187,0.0001,log,2,1.0000000000000004,160.04962204522116,20028,20040,20112,baseline,1.1771135281779532e-12,0.05,2000,1.3192220753299733e-12,1e-07,1.0000000000073612,1.1048273407254783e-11,1.0001999228848035e-12,-2,none
1.4809446248459557,67.0,0.08526940989076962,2.7592462910730963e-05,1.45177148942662,66.0,0.08094913163555587,1.6641641122782422e-05,0.022806646302342415,0.004426782019436359,0.0034508281387388706,uniform,,,,,,,,,,,,,,,,,,,,,,,7.599488258361816,0.001223222236149013,1.4158867998048663e-06,1.0961459875106812,0.05397634953260422,30788,geo_arccos,uniform,1.4809446248459557,67.0,0.08526940989076962,2.7592462910730963e-05,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.1414072536874764,0.0001,log,3,0.9999999999999998,36.43043256702648,30028,30040,30112,baseline,1.1534666451151754e-12,0.05,2000,1.3192220753299733e-12,1e-07,1.000000000017451,1.5075163339872688e-11,1.000310945187266e-12,-2,none
1.3975303935050167,68.0,0.07268063085095836,9.914389288122996e-06,1.401129217797293,71.0,0.07323909476226899,8.286395449200919e-06,0.008180618286132812,0.0018212127033621073,0.0010301814181730151,uniform,,,,,,,,,,,,,,,,,,,,,,,7.600770473480225,0.00010334434045944363,1.3163735275156795e-07,1.036562204360962,0.014268189668655396,40788,geo_arccos,uniform,1.3975303935050167,68.0,0.07268063085095836,9.914389288122996e-06,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.140331747985652,0.0001,log,4,1.0000000000000004,108.90925965317571,40028,40040,40112,baseline,1.2055352376083572e-12,0.05,2000,1.3239969016975994e-12,1e-07,1.0000000000104734,1.115540992913111e-11,1.0001999228848035e-12,-2,none
1.4038891639170121,66.0,0.07366641094841755,9.61285663816447e-06,1.499716108671179,68.0,0.08800452815908816,2.5735320150159343e-05,0.016391277313232422,0.00354048446752131,0.002226881915703416,uniform,,,,,,,,,,,,,,,,,,,,,,,7.600341320037842,0.0005726800300180912,5.622350145131349e-07,1.0615580081939697,0.030077999457716942,50788,geo_arccos,uniform,1.4038891639170121,66.0,0.07366641094841755,9.61285663816447e-06,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.1411761950356065,0.0001,log,5,1.0000000000000009,135.80698135799514,50028,50040,50112,baseline,1.2245209186911854e-12,0.05,2000,1.5323848960580033e-12,1e-07,0.9999999999817248,1.4568790618341154e-11,1.0001999228848035e-12,-2,none
1.4304499503454124,70.0,0.07773633349319686,1.2714576987532167e-05,1.4160800105213596,68.0,0.07554389614941853,1.061424345298322e-05,0.01018381118774414,0.0023342364002019167,0.0013414594577625394,uniform,,,,,,,,,,,,,,,,,,,,,,,7.6006646156311035,0.0001772397808963433,2.3758910538163036e-07,1.0430954694747925,0.015591954812407494,60788,geo_arccos,uniform,1.4304499503454124,70.0,0.07773633349319686,1.2714576987532167e-05,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.1404976622480127,0.0001,log,6,1.0000000000000007,150.14945492830773,60028,60040,60112,baseline,1.2055352376083572e-12,0.05,2000,1.2055352376083572e-12,1e-07,1.000000000034774,6.3795635441010745e-12,1.0001999228848035e-12,-2,none
1.3904374753766746,67.0,0.07157573223136877,7.339441199388473e-06,1.4292566879238442,68.0,0.07755511654307648,1.3176124738520471e-05,0.008810521103441715,0.002053603297099471,0.001095674466341734,uniform,,,,,,,,,,,,,,,,,,,,,,,7.600766658782959,9.850443893810734e-05,1.3539724750444293e-07,1.0354076623916626,0.012283614836633205,70788,geo_arccos,uniform,1.3904374753766746,67.0,0.07157573223136877,7.339441199388473e-06,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.1399308089107483,0.0001,log,7,1.0000000000000004,121.57642875959192,70028,70040,70112,baseline,1.2908003658995693e-12,0.05,2000,1.1486918187475492e-12,1e-07,1.000000000009308,7.820522007762065e-12,1.0001999228848035e-12,-2,none
1.457790566876072,66.0,0.0818475678266098,1.737371766232263e-05,1.4050822978640176,68.0,0.07385088114598594,8.382734613189903e-06,0.011367798782885075,0.002578462939709425,0.0014984074514359236,uniform,,,,,,,,,,,,,,,,,,,,,,,7.600620269775391,0.0002100695128319785,2.823001123033464e-07,1.0509507656097412,0.016582030802965164,80788,geo_arccos,uniform,1.457790566876072,66.0,0.0818475678266098,1.737371766232263e-05,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.1403858730253678,0.0001,log,8,1.0000000000000002,157.75103346169308,80028,80040,80112,baseline,1.3192220753299733e-12,0.05,2000,1.4092620299888114e-12,1e-07,1.0000000000026432,1.353150924643387e-11,1.0001999228848035e-12,-2,none
1.4184157365257772,68.0,0.0759017704364469,1.1084727606933863e-05,1.4116657530028356,69.0,0.07486593943069035,8.305344301659773e-06,0.010897159576416016,0.0019403353799134493,0.001103837857954204,uniform,,,,,,,,,,,,,,,,,,,,,,,7.600777626037598,0.00011276376608293504,1.245434395968914e-07,1.0358320474624634,0.013437822461128235,90788,geo_arccos,uniform,1.4184157365257772,68.0,0.0759017704364469,1.1084727606933863e-05,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.1402799574694606,0.0001,log,9,0.9999999999999996,72.88597647635596,90028,90040,90112,baseline,1.5371597224256295e-12,0.05,2000,1.2387317734063874e-12,1e-07,1.0000000000050306,2.2934210086589246e-11,1.000310945187266e-12,-2,none
