A_ldd_effective_rank,A_ldd_spectral_entropy,A_ldd_variance,B_ldd_effective_rank,B_ldd_spectral_entropy,B_ldd_variance,LDD_cost_P,LDD_cost_uniform,LDD_gain_over_uniform,M_max,M_mean,M_std,Q_inverse_entropy_mean,Q_inverse_entropy_std,Q_peak_ratio_mean,Q_peak_ratio_std,R_energy,case,distance_type,ldd_effective_rank_mean,ldd_spectral_entropy_mean,ldd_variance_floor,ldd_variance_mean,n_points,r_bins,r_max,r_min,rep,sampling_mode,seed_a,seed_b,seed_rot,sinkhorn_epsilon
nan,nan,1.6053640138125047e-05,nan,nan,1.5766712749609724e-05,0.0031066257506608963,0.00318295881152153,0.023981793476034574,0.015485762618482113,0.00318295881152153,0.002359793521463871,1.0001003742218018,8.44493115437217e-05,1.072977900505066,0.03192315250635147,7.626604638062417e-07,uniform_s2,geo,nan,nan,0.0001,1.5910176443867385e-05,2000,100,3.1405068394189404,0.0001,0,independent,17,29,101,0.05
nan,nan,7.058594292175258e-06,nan,nan,9.339455573353916e-06,0.0016351249068975449,0.001641567563638091,0.003924697882229045,0.008014678955078125,0.0016415674472227693,0.0008144433377310634,1.000008463859558,5.750938726123422e-06,1.030029058456421,0.01027090847492218,6.438613490900025e-08,uniform_s2,geo,nan,nan,0.0001,8.199024932764587e-06,2000,100,3.140903680660453,0.0001,1,independent,10017,10029,10101,0.05
nan,nan,1.0008881872636266e-05,nan,nan,1.8286176782567054e-05,0.0027904354501515627,0.00283252471126616,0.014859274112310583,0.011642932891845703,0.00283252471126616,0.0019094704184681177,1.0000553131103516,4.827002339879982e-05,1.05659818649292,0.024979006499052048,4.217952664475888e-07,uniform_s2,geo,nan,nan,0.0001,1.414752932760166e-05,2000,100,3.140597652484395,0.0001,2,independent,20017,20029,20101,0.05
nan,nan,1.6801803212729283e-05,nan,nan,7.071537311276188e-06,0.0023681772872805595,0.002390124136582017,0.009182305205637675,0.0124664306640625,0.002390124136582017,0.0016013970598578453,1.0000288486480713,2.536257670726627e-05,1.0430378913879395,0.01901913434267044,2.1907189511694013e-07,uniform_s2,geo,nan,nan,0.0001,1.1936670262002735e-05,2000,100,3.140239207462899,0.0001,3,independent,30017,30029,30101,0.05
nan,nan,1.6462852727272548e-05,nan,nan,7.800616913300473e-06,0.0024045705795288086,0.002428685314953327,0.009929131318925921,0.010480403900146484,0.0024286850821226835,0.0015010031638666987,1.0000317096710205,2.406166458968073e-05,1.0472184419631958,0.020785152912139893,2.4141515314113347e-07,uniform_s2,geo,nan,nan,0.0001,1.213173482028651e-05,2000,100,3.1413712572862993,0.0001,4,independent,40017,40029,40101,0.05
nan,nan,1.3584422958956566e-05,nan,nan,1.3437600500765257e-05,0.002646510023623705,0.002702815691009164,0.02083222602738255,0.013741254806518555,0.0027028159238398075,0.00203416938893497,1.000074028968811,6.406482862075791e-05,1.0633695125579834,0.02778269723057747,5.625909543596208e-07,uniform_s2,euc,nan,nan,0.0001,1.3511011729860911e-05,2000,100,1.999999705250904,0.0001,0,independent,17,29,101,0.05
nan,nan,6.07420315645868e-06,nan,nan,8.052194971241988e-06,0.0014087159652262926,0.0014143195003271103,0.003962000877115623,0.007849454879760742,0.0014143196167424321,0.0007640607072971761,1.0000072717666626,5.713061909773387e-06,1.0277224779129028,0.010285712778568268,5.600096483249217e-08,uniform_s2,euc,nan,nan,0.0001,7.063199063850334e-06,2000,100,1.999999881328077,0.0001,1,independent,10017,10029,10101,0.05
nan,nan,8.506396625307389e-06,nan,nan,1.5584670109092258e-05,0.002379066776484251,0.0024111689999699593,0.013313966580570713,0.010950565338134766,0.0024111689999699593,0.0016732144868001342,1.0000423192977905,3.8750549720134586e-05,1.0493154525756836,0.021934328600764275,3.2165177981369195e-07,uniform_s2,euc,nan,nan,0.0001,1.2045533367199823e-05,2000,100,1.999999752492205,0.0001,2,independent,20017,20029,20101,0.05
nan,nan,1.4329999430628959e-05,nan,nan,6.036809281795286e-06,0.002022275933995843,0.0020390753634274006,0.00823874866661145,0.01168966293334961,0.0020390753634274006,0.0014303395291790366,1.0000221729278564,2.048452734015882e-05,1.0385736227035522,0.01727643981575966,1.676946849329397e-07,uniform_s2,euc,nan,nan,0.0001,1.0183404356212122e-05,2000,100,1.9999995420452992,0.0001,3,independent,30017,30029,30101,0.05
nan,nan,1.4022034520166926e-05,nan,nan,6.6900170168082695e-06,0.0020545271690934896,0.002073459792882204,0.009130933647089057,0.009378433227539062,0.0020734600257128477,0.0013443566858768463,1.0000249147415161,2.0243172912159935e-05,1.0425564050674438,0.019614307209849358,1.8950633239001035e-07,uniform_s2,euc,nan,nan,0.0001,1.0356025768487598e-05,2000,100,1.9999999877449193,0.0001,4,independent,40017,40029,40101,0.05
nan,nan,2.5507764803478494e-05,nan,nan,2.5191593522322364e-05,0.004876486957073212,0.0050711785443127155,0.03839178319955794,0.02514028362929821,0.0050711785443127155,0.003787726629525423,1.000255823135376,0.00022046937374398112,1.1158441305160522,0.05145822837948799,1.942333416081965e-06,uniform_s2,eol,nan,nan,0.0001,2.534967916290043e-05,2000,100,3.999998821003703,0.0001,0,independent,17,29,101,0.05
nan,nan,1.1465380339359399e-05,nan,nan,1.5139456081669778e-05,0.0026444760151207447,0.0026633429806679487,0.007083941378992931,0.014201642014086246,0.002663342747837305,0.001398924388922751,1.0000247955322266,1.961450652743224e-05,1.0497348308563232,0.01912505365908146,1.88442922080867e-07,uniform_s2,eol,nan,nan,0.0001,1.3302418210514588e-05,2000,100,3.9999995253123224,0.0001,1,independent,10017,10029,10101,0.05
nan,nan,1.603466625965666e-05,nan,nan,2.9146394808776677e-05,0.004412419628351927,0.004522650968283415,0.024373169785712356,0.018614770844578743,0.0045226505026221275,0.0030937152914702892,1.0001451969146729,0.0001328467478742823,1.0900132656097412,0.040750253945589066,1.1059683747589588e-06,uniform_s2,eol,nan,nan,0.0001,2.259053053421667e-05,2000,100,3.9999990099688816,0.0001,2,independent,20017,20029,20101,0.05
nan,nan,2.6908895961241797e-05,nan,nan,1.1383282981114462e-05,0.0037756268866360188,0.003833646886050701,0.015134414081222958,0.021196840330958366,0.003833647118881345,0.002670911606401205,1.0000762939453125,7.144019764382392e-05,1.0695160627365112,0.03225059434771538,5.780973006039858e-07,uniform_s2,eol,nan,nan,0.0001,1.914608947117813e-05,2000,100,3.9999981681814063,0.0001,3,independent,30017,30029,30101,0.05
