LDD_gain_over_uniform_mean,LDD_gain_over_uniform_std,Q_peak_ratio_mean_mean,Q_peak_ratio_mean_std,R_energy_mean,R_energy_std,distance_type,ldd_effective_rank_mean_mean,ldd_effective_rank_mean_std,ldd_spectral_entropy_mean_mean,ldd_spectral_entropy_mean_std,ldd_variance_mean_mean,ldd_variance_mean_std,n,plot_group
0.030720808934221445,0.029494210603619644,1.109458041191101,0.06134542378489501,3.6894790246151383e-06,5.031991524031775e-06,geo,nan,nan,nan,nan,2.7646965281746817e-05,1.1223495077407354e-05,5,uniform
0.027700616672485467,0.025451100993633957,1.0986032962799073,0.052942494886768776,2.7975436144818863e-06,3.7228786080302876e-06,euc,nan,nan,nan,nan,2.3504802084062248e-05,9.477140725466959e-06,5,uniform
0.9585467102365142,0.0021347217085734356,9.548722457885741,0.4667304360459801,0.004775847673416138,0.0003428149053167517,geo,1.2694759178406478,0.016310983396625234,0.2385057590230626,0.012875482333805166,0.003346735774539411,8.172349298265633e-05,5,one_vmf
0.9571213754980714,0.002083956161273652,8.947537231445313,0.3950288284350799,0.004362653970718384,0.0002660481453793778,euc,1.2489181570267367,0.013907339180457026,0.22221251106170067,0.011162438635725318,0.0031930543249472977,8.508930316201876e-05,5,one_vmf
0.9336925940635739,0.0028998392667510626,9.213691711425781,0.4390473493583437,0.003559126814206441,0.00020226191973574256,geo,1.2482626671417436,0.017295779130033665,0.22160677154067393,0.01384449013524132,0.0026485786074772477,1.993666153379686e-05,5,mix_u0
0.9326732603055732,0.002970222180562217,8.999713134765624,0.44576711561800253,0.0034640829563140872,0.00019549987347978958,euc,1.2431736455250593,0.016838244441766813,0.21752810728631874,0.013524012974102507,0.002593975584022701,1.793159280465122e-05,5,mix_u0
0.9216263858494784,0.007732784956773371,9.815593242645264,0.6382999188969913,0.003695953567822774,0.00024792353100437897,geo,1.3027709414362982,0.05362014846355346,0.26356687587545324,0.04078953403171161,0.002511534176301211,0.00012800331407933853,20,mix_u1
0.9204265998735497,0.007884174401018474,9.593729400634766,0.6215566357549624,0.0035950792630513504,0.0002396128352566715,euc,1.2981495138071968,0.05384243592666443,0.2600017593592624,0.04109919234792395,0.002457868243800476,0.00012887850572425267,20,mix_u1
0.9162278156384907,0.009314759130747077,10.47078005472819,0.8617539096815126,0.003888492657078637,0.0003113957421857385,geo,1.3597984729020318,0.07871523933545514,0.3055386376927768,0.05756639763085881,0.002437478699721396,0.00012923983811675453,30,mix_u2
0.9148016988924242,0.009498306230480917,10.21033951441447,0.8344112006125477,0.0037726173732015823,0.0003027624166314475,euc,1.3557495883721615,0.07917782322051282,0.3025277460897765,0.05807071269982273,0.0023821005015634,0.00012955693541739796,30,mix_u2
0.9077006009379204,0.007757837545872881,10.906043863296508,0.6299655946523656,0.003935498694578807,0.0002240551532362662,geo,1.4307846617288393,0.07668548465551689,0.35644629282302054,0.054123948228887706,0.002322246215771884,7.559748280281825e-05,20,mix_u3
0.9060554307699009,0.00795820605806881,10.621857738494873,0.6091188452879517,0.003810350318749746,0.000211343058376583,euc,1.4273828682803245,0.07759716580232738,0.3540237208095677,0.054907260712517766,0.002267769881291315,7.456856331022629e-05,20,mix_u3
0.8999617852979949,0.0038366513264937474,11.378111648559571,0.34106384695839714,0.004019178867340089,0.00019938717835547279,geo,1.51349677098349,0.01131994030139329,0.4143414471546194,0.007459342318163209,0.0022205108078196647,3.4043757782708754e-05,5,mix_u4
0.8979425688770168,0.003937847131771577,11.06285514831543,0.31529560480237,0.003875785748163859,0.00018782616409692915,euc,1.511698035188458,0.01082122931423677,0.4131535786802628,0.007136698911730668,0.002164418017491698,3.741402244977747e-05,5,mix_u4
