A_ldd_effective_rank,A_ldd_spectral_entropy,A_ldd_variance,B_ldd_effective_rank,B_ldd_spectral_entropy,B_ldd_variance,LDD_cost_P,LDD_cost_uniform,LDD_gain_over_uniform,M_max,M_mean,M_std,Q_inverse_entropy_mean,Q_inverse_entropy_std,Q_peak_ratio_mean,Q_peak_ratio_std,R_energy,case,distance_type,kappa_1,kappa_2,kappa_3,kappa_4,kind,ldd_effective_rank_mean,ldd_spectral_entropy_mean,ldd_variance_mean,mask_label,mix_base_kappa,n_points,one_mode_kappa,plot_group,r_bins,r_max,r_min,rep,seed_a,seed_b,seed_rot,sinkhorn_epsilon,uniqueness_level,weight_1,weight_2,weight_3,weight_4
1.2212426279321091,0.19986888786296877,0.003077799454331398,1.2422485640170302,0.21692309554633862,0.0030290265567600727,0.026352964341640472,0.6107457876205444,0.9568511729826067,7.879322052001953,0.6107457876205444,0.8867223262786865,1.2248765230178833,0.2670174837112427,8.828826904296875,28.919490814208984,0.00427175760269165,one_vmf,euc,4.0,nan,nan,nan,one_vmf,1.2317455959745698,0.2083959917046537,0.0030534130055457354,none,18.0,1200,4.0,one_vmf,100,1.9999559459679155,0.0001,0,40,52,124,0.05,-1,1.0,nan,nan,nan
1.2510653282140198,0.223995450915896,0.0032230743672698736,1.255293425429177,0.22736935037843917,0.0031702008564025164,0.029439687728881836,0.6418524980545044,0.9541332505238892,8.038605690002441,0.6418524980545044,0.9381420016288757,1.2288535833358765,0.2371968775987625,8.720216751098633,21.536975860595703,0.004203859567642212,one_vmf,euc,4.0,nan,nan,nan,one_vmf,1.2531793768215984,0.2256824006471676,0.003196637611836195,none,18.0,1200,4.0,one_vmf,100,1.9999240631360171,0.0001,1,10040,10052,10124,0.05,-1,1.0,nan,nan,nan
1.2442179527129835,0.21850718211619416,0.003231592010706663,1.2294510794864464,0.2065677929328924,0.0032593451905995607,0.028397155925631523,0.6515626907348633,0.9564168477885008,8.333250999450684,0.6515626311302185,0.9196404218673706,1.229671835899353,0.25500527024269104,8.556873321533203,26.461483001708984,0.004150668780008952,one_vmf,euc,4.0,nan,nan,nan,one_vmf,1.236834516099715,0.21253748752454327,0.003245468600653112,none,18.0,1200,4.0,one_vmf,100,1.999980148372822,0.0001,2,20040,20052,20124,0.05,-1,1.0,nan,nan,nan
1.2640931531027428,0.23435499008412436,0.0032851709984242916,1.260841730470995,0.23177953798030074,0.00310454610735178,0.026201529428362846,0.639062225818634,0.9590000341597427,8.447267532348633,0.6390621662139893,0.9478094577789307,1.2388856410980225,0.4395604431629181,9.575159072875977,38.00665283203125,0.00481500784556071,one_vmf,euc,4.0,nan,nan,nan,one_vmf,1.2624674417868689,0.23306726403221256,0.0031948585528880358,none,18.0,1200,4.0,one_vmf,100,1.9999843290558668,0.0001,3,30040,30052,30124,0.05,-1,1.0,nan,nan,nan
1.268539878098082,0.2378665367708513,0.0032817211467772722,1.2521878308037824,0.22489228602900133,0.0032680665608495474,0.026720251888036728,0.6549975872039795,0.9592055720356181,8.560458183288574,0.6549975872039795,0.9464650750160217,1.2318719625473022,0.28210005164146423,9.056610107421875,30.841209411621094,0.004371976057688395,one_vmf,euc,4.0,nan,nan,nan,one_vmf,1.2603638544509321,0.2313794113999263,0.00327489385381341,none,18.0,1200,4.0,one_vmf,100,1.9999651317389584,0.0001,4,40040,40052,40124,0.05,-1,1.0,nan,nan,nan
1.214883231164286,0.19464796613640603,0.0026078075170516968,1.2367801943612142,0.21251138510800033,0.0026780583430081606,0.03452044352889061,0.5290104150772095,0.9347452478343884,5.834981918334961,0.5290103554725647,0.7050188779830933,1.2060941457748413,0.15359528362751007,8.531167030334473,14.066816329956055,0.0032036604483922323,mix_u0,geo,18.0,18.0,18.0,18.0,mixture,1.22583171276275,0.2035796756222032,0.0026429329300299287,none,18.0,1200,4.0,mix_u0,100,2.1617786158370356,0.0001,0,1017,1029,1101,0.05,0,0.25,0.25,0.25,0.25
1.2527028781266947,0.22530351940404209,0.0027578796725720167,1.2512539876594329,0.2241462385828207,0.002594561083242297,0.0355021171271801,0.5366820693016052,0.933848885293709,6.256869316101074,0.53668212890625,0.7286964058876038,1.213369607925415,0.19633051753044128,9.470246315002441,18.971542358398438,0.0036551288763682047,mix_u0,geo,18.0,18.0,18.0,18.0,mixture,1.2519784328930639,0.2247248789934314,0.002676220377907157,none,18.0,1200,4.0,mix_u0,100,2.457260015605229,0.0001,1,11017,11029,11101,0.05,0,0.25,0.25,0.25,0.25
1.247342680241362,0.2210154326682952,0.002657699165865779,1.2233900444577586,0.20162573019125407,0.0026045632548630238,0.032700058072805405,0.5264455676078796,0.9378852058316466,7.655254364013672,0.5264456272125244,0.7191946506500244,1.210365891456604,0.21713995933532715,9.025912284851074,22.627260208129883,0.003636612097422282,mix_u0,geo,18.0,18.0,18.0,18.0,mixture,1.2353663623495603,0.21132058142977464,0.0026311312103644013,none,18.0,1200,4.0,mix_u0,100,2.5804347172863817,0.0001,2,21017,21029,21101,0.05,0,0.25,0.25,0.25,0.25
1.2837362841985251,0.24977479803492783,0.002543338108807802,1.2391730511846362,0.21444426293814994,0.0027802279219031334,0.03658764064311981,0.5333671569824219,0.9314025242009312,6.5065836906433105,0.5333672165870667,0.7230809926986694,1.2125667333602905,0.2070738673210144,9.431727409362793,22.427730560302734,0.0037025789419809978,mix_u0,geo,18.0,18.0,18.0,18.0,mixture,1.2614546676915808,0.23210953048653887,0.002661783015355468,none,18.0,1200,4.0,mix_u0,100,2.4183588571883683,0.0001,3,31017,31029,31101,0.05,0,0.25,0.25,0.25,0.25
1.2486073521249859,0.22202881192304968,0.0026481393724679947,1.2847569678985384,0.2505695704197937,0.002613511634990573,0.036652322858572006,0.5279877185821533,0.9305811071571942,6.850098609924316,0.5279877781867981,0.7158041596412659,1.2107748985290527,0.19213517010211945,9.609405517578125,23.858957290649414,0.0035976537068684897,mix_u0,geo,18.0,18.0,18.0,18.0,mixture,1.2666821600117621,0.2362991911714217,0.002630825503729284,none,18.0,1200,4.0,mix_u0,100,2.517728896369126,0.0001,4,41017,41029,41101,0.05,0,0.25,0.25,0.25,0.25
